SVK, 2017, 15.0
KOR, 2007, 38.2
SVK, 2018, 15.7
SVK, 2019, 13.9
ESP, 2002, 17.2
ESP, 2006, 13.5
ESP, 2010, 13.5
ESP, 2014, 11.5
SWE, 2000, 12.4
SWE, 2001, 12.4
SWE, 2002, 11.9
SWE, 2003, 11.5
SWE, 2004, 10.8
SWE, 2005, 11.3
SWE, 2006, 11.0
SWE, 2007, 11.8
SWE, 2008, 10.6
SWE, 2009, 9.5
SWE, 2010, 9.4
SWE, 2011, 9.2
SWE, 2012, 9.3
SWE, 2013, 9.4
SWE, 2014, 9.2
SWE, 2015, 8.3
SWE, 2016, 8.2
SWE, 2017, 7.3
SWE, 2018, 7.1
SWE, 2019, 7.6
CHE, 2000, 23.8
CHE, 2002, 22.8
CHE, 2004, 22.0
CHE, 2006, 21.3
CHE, 2008, 21.3
CHE, 2010, 20.1
CHE, 2012, 19.3
CHE, 2014, 16.9
CHE, 2016, 14.8
CHE, 2018, 15.1
TUR, 2006, 3.2
TUR, 2010, 3.1
TUR, 2014, 6.9
GBR, 2000, 26.3
GBR, 2001, 25.6
GBR, 2002, 24.4
GBR, 2003, 24.1
GBR, 2004, 23.4
GBR, 2005, 22.1
GBR, 2006, 21.7
GBR, 2007, 21.6
GBR, 2008, 21.9
GBR, 2009, 20.7
GBR, 2010, 19.2
GBR, 2011, 18.2
GBR, 2012, 17.8
GBR, 2014, 17.4
GBR, 2015, 17.1
GBR, 2016, 16.8
GBR, 2017, 16.5
GBR, 2018, 16.3
GBR, 2019, 16.1
USA, 2000, 23.1
USA, 2001, 23.6
USA, 2002, 22.1
USA, 2003, 20.6
USA, 2004, 19.6
USA, 2005, 19.0
USA, 2006, 19.2
USA, 2007, 19.8
USA, 2008, 20.1
USA, 2009, 19.8
USA, 2010, 18.8
USA, 2011, 17.8
USA, 2012, 19.1
USA, 2013, 17.9
USA, 2014, 17.5
USA, 2015, 18.9
USA, 2016, 18.1
USA, 2017, 18.2
USA, 2018, 18.9
USA, 2019, 18.5
CHL, 2000, 6.1
CHL, 2003, 1.7
CHL, 2006, 5.6
CHL, 2009, 9.1
CHL, 2011, 16.0
CHL, 2013, 10.7
CHL, 2015, 14.3
CHL, 2017, 12.5
COL, 2007, 7.5
COL, 2008, 10.8
COL, 2009, 10.0
COL, 2010, 12.7
COL, 2011, 12.6
COL, 2012, 14.5
COL, 2013, 13.6
COL, 2014, 14.8
COL, 2015, 14.2
COL, 2016, 12.8
COL, 2017, 11.3
COL, 2018, 10.6
COL, 2019, 9.4
CRI, 2010, 9.3
CRI, 2011, 9.7
CRI, 2012, 10.1
CRI, 2013, 9.7
CRI, 2014, 12.3
CRI, 2016, 6.3
CRI, 2017, 6.6
CRI, 2018, 8.5
CRI, 2019, 6.5
EST, 2002, 25.0
EST, 2006, 27.9
EST, 2010, 27.8
EST, 2014, 28.3
ISR, 2001, 28.0
ISR, 2002, 24.2
ISR, 2003, 25.3
ISR, 2004, 25.0
ISR, 2005, 21.9
ISR, 2006, 22.0
ISR, 2007, 20.4
ISR, 2008, 22.1
ISR, 2009, 21.1
ISR, 2010, 20.4
ISR, 2011, 19.7
ISR, 2012, 20.0
ISR, 2013, 20.3
ISR, 2014, 20.1
ISR, 2015, 20.4
ISR, 2016, 21.6
ISR, 2017, 21.8
ISR, 2018, 22.7
LVA, 2002, 18.9
LVA, 2006, 8.5
LVA, 2010, 19.1
LVA, 2014, 21.1
LTU, 2002, 15.1
LTU, 2006, 16.8
LTU, 2010, 10.6
LTU, 2014, 12.5
SVN, 2002, 9.4
SVN, 2006, 6.6
SVN, 2010, 1.0
SVN, 2014, 5.0
OAVG, 2000, 18.1
OAVG, 2001, 17.9
OAVG, 2002, 17.7
OAVG, 2003, 16.9
OAVG, 2004, 16.5
OAVG, 2005, 16.0
OAVG, 2006, 15.7
OAVG, 2007, 15.1
OAVG, 2008, 15.1
OAVG, 2009, 14.6
OAVG, 2010, 14.1
OAVG, 2011, 13.9
OAVG, 2012, 14.0
OAVG, 2013, 13.9
OAVG, 2014, 13.8
OAVG, 2015, 13.6
OAVG, 2016, 13.2
OAVG, 2017, 12.7
OAVG, 2018, 12.7
CRI, 2015, 9.1
HUN, 2017, 5.3
HUN, 2018, 5.1
FRA, 2018, 11.8
ISL, 2018, 12.9
IRL, 2018, 8.3
ITA, 2018, 5.7
NLD, 2018, 12.7
EST, 2018, 22.7
AUS, 2019, 15.3
AUS, 2020, 10.5
AUT, 2019, 14.0
BEL, 2018, 3.4
CAN, 2020, 17.6
CZE, 2020, 12.4
DNK, 2019, 5.1
FIN, 2019, 17.2
DEU, 2019, 14.4
GRC, 2002, 23.6
HUN, 2019, 12.8
ISL, 2002, 28.7
JPN, 2020, 22.5
KOR, 2020, 31.5
LUX, 2018, 0.9
MEX, 2020, 9.6
NZL, 2020, 4.6
NOR, 2020, 4.8
PRT, 2002, 21.9
SVK, 2020, 11.0
ESP, 2018, 8.6
SWE, 2020, 7.4
TUR, 2018, 10.0
GBR, 2020, 12.0
USA, 2020, 17.7
CHL, 2020, 8.6
COL, 2020, 3.0
CRI, 2020, 3.0
LVA, 2018, 20.3
LTU, 2018, 11.7
SVN, 2018, 8.2
OAVG, 2019, 12.6
AUT, 2020, 12.4
BEL, 2019, 3.8
GRC, 2019, 5.9
GRC, 2020, 8.0
HUN, 2020, 12.4
IRL, 2019, 7.9
ITA, 2019, 5.6
POL, 2020, 8.7
PRT, 2019, 12.0
PRT, 2020, 6.7
CHE, 2020, 13.8
OAVG, 2020, 11.1
CAN, 2021, 16.7
CZE, 2021, 11.5
DNK, 2020, 5.0
FIN, 2020, 16.0
DEU, 2020, 12.1
JPN, 2021, 22.1
KOR, 2021, 31.1
MEX, 2021, 12.5
NLD, 2019, 13.4
NLD, 2020, 13.3
NZL, 2021, 6.7
NOR, 2021, 4.6
SVK, 2021, 11.7
ESP, 2020, 8.1
GBR, 2021, 14.2
USA, 2021, 16.9
EST, 2020, 19.6
ISR, 2019, 24.3
LVA, 2019, 19.8
LTU, 2020, 9.3
AUS, 2021, 10.5
AUS, 2022, 9.9
AUT, 2021, 12.2
BEL, 2020, 1.2
FRA, 2019, 12.1
FRA, 2020, 11.8
FRA, 2021, 11.6
ITA, 2020, 4.8
NLD, 2021, 13.2
ESP, 2021, 3.7
SWE, 2021, 7.2
COL, 2021, 3.3
CRI, 2021, 5.2
EST, 2019, 23.2
EST, 2021, 20.4
CRI, 2022, 1.4
LVA, 2020, 22.7
LVA, 2021, 24.0
LTU, 2019, 14.1
LTU, 2021, 9.0
OAVG, 2021, 11.4
CAN, 2022, 17.1
CZE, 2022, 13.6
DNK, 2021, 5.6
FIN, 2021, 15.3
DEU, 2021, 13.5
GRC, 2021, 8.1
HUN, 2021, 13.1
ISL, 2019, 13.3
ISL, 2020, 11.4
ISL, 2021, 9.7
IRL, 2020, 7.3
IRL, 2021, 7.5
ITA, 2021, 2.5
KOR, 2022, 31.2
MEX, 2022, 16.7
NZL, 2022, 9.2
PRT, 2021, 9.6
GBR, 2022, 14.5
USA, 2022, 17.0
CHL, 2021, 10.9
COL, 2022, 1.9
ISR, 2020, 21.6
ISR, 2021, 25.4
JPN, 2022, 21.3
NOR, 2022, 4.5
SVK, 2022, 13.8
SVN, 2021, 8.9
SVN, 2022, 8.3
NLD, 2022, 14.8
ESP, 2022, 6.7
EST, 2022, 20.5
LVA, 2022, 24.9
LTU, 2022, 10.3
OAVG, 2022, 11.6
AUT, 2022, 12.1
BEL, 2021, 1.1
BEL, 2022, 1.1
DNK, 2022, 5.8
FIN, 2022, 14.6
FRA, 2022, 9.3
DEU, 2022, 14.4
GRC, 2022, 8.1
HUN, 2022, 12.7
ISL, 2022, 8.7
IRL, 2022, 2.0
ITA, 2022, 3.3
LUX, 2015, 3.0
LUX, 2016, 2.5
LUX, 2017, 1.6
LUX, 2019, 0.8
LUX, 2020, 0.4
POL, 2022, 10.2
PRT, 2022, 6.1
ESP, 2019, 12.9
SWE, 2022, 7.7
CHE, 2021, 15.2
CHL, 2022, 15.4
SVN, 2019, 9.5
SVN, 2020, 8.4
